Const	3.2402978	18.221647	2.8442195	1.8336810
Cos1	1.3291109	6.0779378	0.2931214	-0.3873319
Cos2	0.4209809	-1.3235271	-0.5383766	0.0094550
Cos3	0.4779546	0.2553541	0.2728634	0.0548413
Cos4	-0.3673774	0.0980007	0.2950094	-0.0113930
Cos5	0.0557991	0.0075817	-0.0456968	-0.0434681
Cos6	-0.0556684	-0.0050137	0.0073026	0.0562728
Sin1	-0.1914775	1.3812608	0.8133630	0.1214365
Sin2	0.0802700	-0.0211661	-0.3734801	-0.2901524
Sin3	-0.4206442	-0.1240047	-0.0874247	0.2791531
Sin4	-0.0354484	0.3415960	-0.0607254	-0.1764180
Sin5	-0.2017480	-0.1074103	0.1679693	0.0400522
Sin6	-0.0298214	0.2863931	-0.0456554	-0.1214534
