Const	33.435440	30.688625	5.9308809	4.1004123
Cos1	24.269584	3.9275374	0.3238901	-0.4237273
Cos2	-4.0539849	-2.4440639	-0.9602533	-0.1556447
Cos3	-5.0305214	1.8123949	0.2338884	0.2188714
Cos4	-1.7500538	-0.2253542	0.4168486	-0.0093918
Cos5	-0.8196342	0.4044060	-0.1198387	-0.0095218
Cos6	-0.7520601	-1.2894243	-0.5288058	0.0896570
Sin1	-5.9059449	-2.6264976	0.8511741	-0.6852183
Sin2	-0.1670781	3.0068989	0.9358651	-0.0488459
Sin3	2.8623939	-2.5030701	-1.2186771	0.3298003
Sin4	0.9153974	0.7056867	0.1745191	0.1314771
Sin5	1.5992821	-0.1550183	-0.3299605	-0.1826762
Sin6	0.9162504	-0.7857376	-0.2456667	0.2985601
