Const	17.185531	27.197799	5.1669995	2.5417068
Cos1	11.323595	5.3379375	1.1495666	-0.6063337
Cos2	-1.2885997	-1.1071272	0.0676676	0.0136708
Cos3	-0.8853908	0.3888829	-0.1339100	-0.0624044
Cos4	1.2169522	-0.4494379	-0.0978956	0.0024086
Cos5	0.9936972	-0.2346430	-0.2247035	0.0623906
Cos6	0.3355213	0.3541175	0.0702655	0.0125311
Sin1	-1.8969096	-0.7900455	0.0107553	-0.3075880
Sin2	-1.5002061	0.5940236	0.2318213	0.0774584
Sin3	-0.4722835	-0.7037725	-0.1692764	-0.1040405
Sin4	-1.8746630	0.4504852	0.5258857	-0.0402230
Sin5	-0.8323257	0.2860252	0.1850265	-0.0989170
Sin6	0.1062067	-0.4846608	-0.2689677	0.0636382
