Const	7.5088404	18.622930	3.2261931	1.8188745
Cos1	2.6287603	5.7324085	0.0827922	-0.3112791
Cos2	-0.0450220	-1.3868862	-0.6557206	0.0162807
Cos3	0.6539572	0.5080752	0.2457516	-0.0193889
Cos4	-0.9457612	-0.2046010	0.1278021	-0.1452522
Cos5	0.2284535	0.2564687	0.0392661	-0.0234400
Cos6	0.0857270	-0.2413532	-0.0626898	0.0795029
Sin1	1.8046452	0.8410476	0.4596556	0.2625440
Sin2	0.5823422	-0.2971944	-0.2923336	-0.1834317
Sin3	0.1393766	-0.3119841	-0.2334998	0.2266602
Sin4	-0.0723001	0.5859838	0.2180461	-0.1648118
Sin5	-0.0662265	-0.5321336	-0.2216241	0.0763152
Sin6	0.0432793	0.4358112	0.1371674	-0.0443683
