Const	14.536892	22.098385	4.2861266	2.5432819
Cos1	3.1305259	6.4013028	1.3105747	-0.7704928
Cos2	-2.2871685	-1.5546237	-0.0704801	0.2164700
Cos3	1.0862771	0.1599054	-0.2381700	0.0604332
Cos4	0.1800945	0.0602462	0.0054845	-0.0363121
Cos5	0.1225502	-0.2760174	-0.1155566	0.0435058
Cos6	-0.1272493	0.3207505	0.1056014	-0.0323768
Sin1	0.9704765	1.4036987	0.7597528	-0.3689676
Sin2	-1.5718893	-0.3569569	0.0161295	0.0244136
Sin3	0.4149740	-0.1294209	-0.2204513	0.0575181
Sin4	0.7983046	0.1732968	-0.1373450	-0.0725929
Sin5	-0.1199654	-0.0866559	0.0403870	0.1156904
Sin6	-0.0197113	-0.1329233	-0.1831675	-0.0874685
